video_id,video_title,video_one_level_classification,video_two_level_classification_list,video_tag_list,director_list,actor_list,country,language,release_date,storage_time,video_time,score,is_paid,package_id,is_single,is_trailers,supplier,introduction,number_of_plays_in_30_days,number_of_views_within_30_days,number_of_plays_in_14_days,number_of_views_within_14_days,number_of_plays_in_7_days,number_of_views_within_7_days,number_of_plays_in_3_days,number_of_views_within_3_days,abs_of_number_of_days_between_storage_and_current,number_of_times_purchased_within_30_days,number_of_times_purchased_within_14_days,number_of_times_purchased_within_7_days,number_of_times_purchased_within_3_days,number_of_times_purchased_total
261435.0,熊出没之春日对对碰,幼儿,"[励志, 动画, 冒险, 亲子, 宠物]","[可爱, 剧情, 儿童, 幽默, 环保, 国产, 4-6岁, 系列剧, 动画, 14-17岁, 学龄前, 国语, 日常, 7-10岁, 机智, 女孩喜欢, 聪明, 萌系, 启蒙, 冒险, 3D动画, 斗争, 搞笑, 宣传片, 家庭, 童话, 亲子, TV版, 森林, 经典, 轻松, 勇敢, 探险, 家园, 贺岁档, 熊, 男孩喜欢, 灰姑娘, 合家欢, 动漫]","","","",国语,2014-01-01 00:00:00,2014-12-25 23:35:04,780.0,7.4,0.0,NaN,0.0,0.0,爱奇艺,《熊出没之春日对对碰》延续《熊出没》和《熊出没之丛林总动员》轻松搞笑的风格，讲述了两头熊——熊大和熊二和人类——光头强身上发生的保卫森林家园的斗争故事。熊大是熊兄弟中的主心骨，比较聪明，机智，能随机应变，能想点子出主意；熊二性格憨直，懵懂可爱，做事冲动，直线条思维；两熊最大的敌人光头强，是个身材矮小，盗砍盗伐的伐木工。这一部主要描述在春天的森林里，熊大熊二和光头强之间发生的和春天有关的故事，譬如赏花，植树节，花粉症等等，为了阻止光头强破坏森林，保卫自己的家园，以熊大熊二为首的丛林动物们和光头强继续展开保卫森林的斗争。,1388,1369,1388,1369,1388,1369,1388,1369,1946,"","","","",""
290235.0,乡村牧师日记,电影,"[悬疑, 乡村, 悲剧, 剧情, 文艺]","[道德, 绝望, 中成本, 乡村, 法国, 经典, 当代, 剧情片, 原著, 悲剧, 神职人员, 文艺, 高冷, 奋斗, 演员, 英国电影和电视艺术学院奖, 悬疑, 威尼斯电影节, 孤独, 社会问题, 宗教]",[Robert Bresson],"[让·里维尔, 妮可·茂瑞, 克劳德·雷杜]",法国,法语,1951-02-07 00:00:00,2015-01-27 09:29:32,6944.0,7.4,1.0,100201.0,0.0,0.0,爱奇艺,一个青年牧师在日记中向上帝袒露心声。年轻的牧师初到村庄，感受到这里的寒冷和孤苦，他怀着一腔热忱，希望用自己的力量教化众生，令人们更加虔诚，但和村人接触之下他才发现，他们浅薄、功利，有的村民连妻子葬礼都不肯花钱，大多数人根本不关心自己的灵魂是否被拯救，反倒质疑他的献身精神。唯有一位伯爵夫人，因为难以纾解丧子之痛，找来牧师长谈，从而得到开解。但在村子的大环境下，他仍时时感到徒劳无功，他自己的迷茫和痛苦连上帝都解救不了。长期抑郁之下，牧师渐渐吃不下东西，最后发现自己得了胃癌，终于孤独地死去。,"","","","","","","","",1913,"","","","",""
470835.0,陷进爱情与阴谋中的戴安娜,纪录片,"[人物, 历史]","[人物, 历史]","","","","",2011-01-01 00:00:00,2015-03-02 11:23:36,2598.0,7.5,0.0,NaN,0.0,0.0,爱奇艺,一场车祸，平民王妃消香玉殒，是意外还是阴谋？揭秘陷进阴谋中的戴安娜。,"","","","","","","","",1879,"","","","",""
472035.0,机器人外科医生,纪录片,"[探秘, 社会]","[探索, 社会]","","","","","",2015-03-02 11:24:12,1793.0,7.2,0.0,NaN,0.0,0.0,爱奇艺,现代机器人能帮助医生做复杂的内科和心脏手术。,1,1,1,1,1,1,1,1,1879,"","","","",""
473835.0,郑苹如诱杀大汉奸丁默邨,纪录片,"[军事, 人物, 历史]","[人物, 军事, 历史]","","","","",2011-01-01 00:00:00,2015-03-02 11:25:10,2604.0,7.0,0.0,NaN,0.0,0.0,爱奇艺,丁默邨，阴险狡猾的特务头子，郑苹如，一个聪明美丽的女大学生；一场精心设计的温柔暗杀，为何会在最后时刻失败呢？,"","","","","","","","",1879,"","","","",""
475635.0,半个身体的完整女人,纪录片,"[社会, 人物]","[人物, 社会]","","","","","",2015-03-02 11:26:11,2369.0,7.7,0.0,NaN,0.0,0.0,爱奇艺,　　一个因为患有先天疾病的女人从小就被截去了双腿，她把手当成了腿。不仅成了一名出色的汽车机械师，还冒着生命危险生儿育女，同时又担当起了很多正常人都难于应付的责任。,"","","","","","","","",1879,"","","","",""
533235.0,手机惹的祸：揭秘俄史上最大匪首毙命原因,军事,[综合],[战役解析],"","","","",2014-07-04 00:00:00,2015-03-10 07:59:49,215.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,更多高清拉风武器视频请关注爱奇艺军事，点击客户端下“更多”或直接访问爱奇艺网页版军事频道，也可关注爱奇艺军事官方微博，微博没有广告哦！,"","","","","","","","",1871,"","","","",""
597435.0,约旦近日将处死女恐怖分子里沙维,军事,[综合],[中东],"","","","",2015-02-04 00:00:00,2015-03-10 08:34:41,29.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,更多高清拉风武器视频请关注爱奇艺军事，点击客户端下“更多”或直接访问爱奇艺网页版军事频道，也可关注爱奇艺军事官方微博，微博没有广告哦！,"","","","","","","","",1871,"","","","",""
623235.0,骄傲之路：纪念英国皇家海军陆战队成立350周年,军事,[综合],[欧美],"","",欧美,"",2015-01-12 00:00:00,2015-03-10 08:48:40,465.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,"","","","","","","","","",1871,"","","","",""
647835.0,美对台军售出意外 两艘佩里护卫舰或封存,军事,[台海],[台海],"","","","",2014-09-11 00:00:00,2015-03-10 09:03:22,94.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,更多高清拉风武器视频请关注爱奇艺军事，点击客户端下“更多”或直接访问爱奇艺网页版军事频道，也可关注爱奇艺军事官方微博，微博没有广告哦!,"","","","","","","","",1871,"","","","",""
