media_id	_c1	type_name	category_name_array	tag_name_array	director_name_array	actor_name_array	country	language	pubdate	created_time	time_length	rate	fee	vip_id	is_single	is_clip	vender_name	_c18
1917793	郜林发表感言引来猜测 六朝元老或告别恒大	体育	["快讯"]	["国内","国语","第1轮","资讯"]	NULL	NULL	国内	国语	2015-11-24 00:00:00	1448339584	54	0.0	0	NULL	0	0	爱奇艺	广州恒大三年两次夺得亚冠冠军，现在的新前场“三叉戟”，高拉特核心位置不可撼动，郑龙送出致命助攻，埃尔克森一剑封喉，这三人的稳定状态，也让其他球员机会越来越少。
1933993	中超-李本舰膝顶王林胃部 裁判视而不见引不满	体育	["花絮"]	["国内","国语","第2轮","花絮"]	NULL	NULL	国内	国语	2015-03-15 00:00:00	1448942105	36	0.0	0	NULL	0	0	爱奇艺	北京时间2015年3月15日天津泰达vs杭州绿城，泰达队外围远射，被门将没收，烈鸟转移左路，李本舰争抢犯规。
2002393	四大豪门提前聚首 足总杯抽签又现“阴谋论”	体育	["快讯"]	["国内","国语","第1轮","资讯"]	NULL	NULL	国内	国语	2014-01-29 00:00:00	1453398660	106	0.0	0	NULL	0	0	爱奇艺	北京时间1月27日凌晨，英格兰足总杯第5轮比赛抽签结果揭晓。在引人注目的两场比赛中，阿森纳将坐镇主场迎战利物浦，而切尔西将客场出战曼城。
2025793	互掷杂物灭火器喷雾大战 西布朗球迷场外现骚乱	体育	["快讯"]	["国内","国语","第1轮","资讯"]	NULL	NULL	国内	国语	2015-03-10 00:00:00	1453400375	105	0.0	0	NULL	0	0	爱奇艺	2015年3月10日，互掷杂物灭火器喷雾大战 西布朗球迷场外制造骚乱。
11015525463	五四运动的另一面	教育	["综合"]	NULL	NULL	NULL	NULL	NULL	NULL	1528824776	NULL	0.0	0	NULL	0	0	优酷	NULL
11019012063	114 鞠萍姐姐讲故事 猎人海力布	教育	["综合"]	NULL	NULL	NULL	NULL	NULL	NULL	1547315300	NULL	0.0	0	NULL	0	0	优酷	NULL
11019341463	108 中国童话-猴子捞月	教育	["综合"]	NULL	NULL	NULL	NULL	NULL	NULL	1548438851	NULL	0.0	0	NULL	0	0	优酷	NULL
11019793263	182 为什么被冷淡的总是我？是老实人就点进来看看！	教育	["综合"]	NULL	NULL	NULL	NULL	NULL	NULL	1550253298	NULL	0.0	0	NULL	0	0	优酷	NULL
11012382123	太阳月亮一条河	电视剧	["年代","剧情","农村"]	["轻喜剧","励志","农民","家庭剧","爱情","农村剧","情感","欢乐","新农村","年代剧","剧情"]	["张会中"]	["吕士刚","尚铁龙","马光泽","关小平","盖克","刘一莹","刘名洋","张会中"]	中国	NULL	2011-03-06 00:00:00	1499226641	2735	6.0	0	NULL	0	0	优酷	淮河流域历史上是一个多灾多难的地方，但又是一片充满追求和希望的热土，三十年前沿淮农民“大包干”的创举揭开了中国改革开放的伟大序幕，三十年后今天他(她)们又以致富奔小康的实践演绎着一幕幕社会主义新农村建设的历史大剧。正月十五这天晚上，朱圩村的村民们都出来闹花灯。村民刘泥鳅在村支书朱五河开了两年的饭店对面新开业了一家酒店，当晚聚众上演花鼓灯和淮北民歌。而朱五河家为了庆贺元宵节，五河的儿子朱新亮也在带着自家的饭店职工和村民在自家门前欢乐歌舞。无意中，与刘家形成了“抵灯”。在这次“抵灯”中，新亮见到了长相漂亮、能歌善舞的苏南南，新堂、刘喜子、玉树、李水泉等年轻的小伙子都对她一见倾情。只有新亮对她抱有讨嫌之感：以为她是有意地来帮刘泥鳅家挤兑朱家。而其实南南对“抵灯”并不知情，她是与妈妈一起来离村子很近的镇子上做服装生意的苏南人，只是在刘妻“小广播”的再三怂恿下，以为上台为大家助个兴而已！
11012680923	冬日惊雷 TV版	电视剧	["谍战","悬疑"]	["战争","动作","特务","成功","军旅剧","谍战剧","悬疑剧","刑侦"]	["李舒"]	["侯勇","田小洁","王雅捷","程实","贺丹丹","李佳洺","三浦研一","公磊","左腾云","铃木美妃","平田康之"]	中国	NULL	2013-09-24 00:00:00	1505298342	2818	5.400000095367432	0	NULL	0	0	优酷	1938年某个深夜，省委书记魏拯民向大家宣布刚发生的重大事变：组织部长温逸杰抢走记有全南满地下党情况的绝密档案后叛逃。省委决定立刻派出省委委员黄秋英同志，组成四人特别行动小组，抢在温逸杰投降日本人之前截杀他，夺回绝密档案。此行动代号“夜鹰行动”。行动小组的一名成员徐文筱先前到达铁岭，不慎落入日本特务组织特高课设下的圈套。狡猾而凶残的日本特务得知党内温逸杰事变及省委已实施“夜鹰行动”，立誓要抢先围捕“夜鹰”，拿到绝密档案。日本人一个接一个的阴谋拉开帷幕，黄秋英与钱广来等临危不惧，与日本人斗智斗勇，成功阻止了温逸杰的投降。最终，绝密档案被夺回，数以千计地下党员的性命得以保存。
11013109323	神医喜来乐传奇	电视剧	["古装"]	["历史剧","老师","传记","喜剧","搞笑","古装剧"]	["柏杉"]	["李保田","金玉婷","王晓晨","吴军","李彧","王全有","马京京","魏子昕"]	NULL	NULL	2013	1513308973	2540	7.599999904632568	1	101803	0	0	凤凰	《神医喜来乐传奇》讲述的是喜来乐流放东北后对抗八国联军的爱恨传奇。
